2469,1057,526,528,273,514,137
4590,2982,2411,558,454,545,140
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
2197,1293,1052,279,228,245,50
1443,836,603,261,119,229,46
1266,838,631,261,115,244,45
1356,869,629,271,116,257,53
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
915,528,330,214,105,198,31
833,576,378,191,56,198,32
846,560,366,197,51,199,33
849,592,363,190,57,186,33
834,563,380,202,57,206,31
859,599,383,198,55,196,36
826,595,359,202,57,199,40
844,551,378,205,55,188,32
846,562,359,202,57,202,34
823,631,397,220,53,203,32
829,564,391,200,54,184,32
804,548,362,201,58,184,32
828,559,363,198,49,188,32
829,565,365,190,53,195,34
772,446,268,172,115,160,24
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
